hex_id,Province,District,DS,Name,Amenity,geometry,Category,user_id
88611c7765fffff,North Western,Puttalam,Chilaw,Cargills Food City - Chilaw 3,Grocery store,POINT (79.7965802 7.5826745),Cargills Food City,
88611c776dfffff,North Western,Puttalam,Chilaw,Cargills Food City - Chilaw 2,Supermarket,POINT (79.7989804 7.5689504),Cargills Food City,
88611ea44dfffff,North Western,Puttalam,Puttalam,Cargills Food City - Puttalam,Supermarket,POINT (79.8376922 8.027173),Cargills Food City,
88611cbb15fffff,Western,Gampaha,Ja Ela,Cargills Food City - Ragama 1,Supermarket,POINT (79.9237499 7.0276863),Cargills Food City,
88611cb303fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Stanley Tillekarathne Mawatha,Supermarket,POINT (79.8962574 6.8747371),Cargills Food City,
88611cb365fffff,Western,Colombo,Kaduwela,Cargills Food City - Pelawatte,Supermarket,POINT (79.9304007 6.8880308),Cargills Food City,
88611cb307fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Pitakotte 1,Supermarket,POINT (79.9015364 6.8827114),Cargills Food City,
88611cbb17fffff,Western,Gampaha,Wattala,Cargills Food City - Ragama 2,Supermarket,POINT (79.9157834 7.0286092),Cargills Food City,
88611c8697fffff,Western,Colombo,Maharagama,Cargills Food City - Thalawathugoda,Supermarket,POINT (79.937962 6.8735042),Cargills Food City,
88611cb327fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Ethul Kotte,Supermarket,POINT (79.9059015 6.9012763),Cargills Food City,
88611cbb49fffff,Western,Gampaha,Mahara,Cargills Food City - Kadawatha,Supermarket,POINT (79.9560229 7.0032007),Cargills Food City,
88611c8411fffff,Western,Colombo,Kaduwela,Cargills Food City - Welivita,Supermarket,POINT (79.972061 6.914682),Cargills Food City,
88611cbb4bfffff,Western,Gampaha,Mahara,Cargills Food City - Kadawatha 3,Supermarket,POINT (79.9508474 7.0035783),Cargills Food City,
88610349b3fffff,Western,Colombo,Kesbewa,Cargills Food City,Grocery store,POINT (79.9067499 6.8329309),Cargills Food City,
88611cb14dfffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City – Rajagiriya 02,Supermarket,POINT (79.8993481 6.9083233),Cargills Food City,
88611c84d3fffff,Western,Colombo,Kaduwela,Cargills Food City - Battaramulla,Supermarket,POINT (79.9177761 6.9018285),Cargills Food City,
88611cb349fffff,Western,Colombo,Maharagama,Cargills Food City - Maharagama 1,Supermarket,POINT (79.9265791 6.8453147),Cargills Food City,
88611cb867fffff,Western,Gampaha,Ja Ela,Cargills Food City- Kandana,Supermarket,POINT (79.8958736 7.0494633),Cargills Food City,
88611cb307fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Pitakotte 2,Supermarket,POINT (79.9001061 6.8839639),Cargills Food City,
88611c8343fffff,Western,Colombo,Seethawaka,Cargills Food City - Avissawella 1,Supermarket,POINT (80.2137488 6.9503517),Cargills Food City,
88611cb307fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Mirihana,Supermarket,POINT (79.9008622 6.8749604),Cargills Food City,
88611cb303fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Kattiya Junction,Supermarket,POINT (79.8984586 6.8688994),Cargills Food City,
8861066c69fffff,Southern,Hambantota,Thissamaharama,Cargills Food City - Tissamaharama,Supermarket,POINT (81.2855377 6.278584),Cargills Food City,
8861066c0dfffff,Southern,Hambantota,Thissamaharama,Cargills Food City (Express) - Debarawewa,Store,POINT (81.2659037 6.2798651),Cargills Food City,
886103c0b9fffff,Southern,Galle,Ambalangoda,Cargills Food City,Supermarket,POINT (80.0536425 6.240557),Cargills Food City,
88611cb157fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City Express,Supermarket,POINT (79.86499 6.9114533),Cargills Food City,
88611cb15bfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Thimbirigasyaya,Supermarket,POINT (79.8665045 6.8909812),Cargills Food City,
88611cb15bfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Jawatta,Supermarket,POINT (79.8667069 6.8949964),Cargills Food City,
88611cb067fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Dickman's Road,Supermarket,POINT (79.8588715 6.8867474),Cargills Food City,
88611cb025fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Kollupitiya,Supermarket,POINT (79.8526367 6.9028007),Cargills Food City,
88611cb041fffff,Western,Colombo,Dehiwala,Cargills Food City - Dehiwala,Grocery store,POINT (79.8646893 6.8589452),Cargills Food City,
88611cb02dfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Majestic City,Supermarket,POINT (79.8546195 6.8940731),Cargills Food City,
88611cb12bfffff,Western,Colombo,Colombo,Cargills Food City - Maligawatta,Supermarket,POINT (79.8747583 6.9386902),Cargills Food City,
88611cb06bfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Wellawatta,Supermarket,POINT (79.861873 6.8711259),Cargills Food City,
88611cb163fffff,Western,Colombo,Kolonnawa,Cargills Food City - Kolonnawa,Supermarket,POINT (79.8919523 6.9325774),Cargills Food City,
88611cb23dfffff,Western,Colombo,Ratmalana,Cargills Food City – Mount Lavinia,Supermarket,POINT (79.8672939 6.8372218),Cargills Food City,
88611cb141fffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City (Express) - Rajagiriya,Supermarket,POINT (79.8942646 6.9101066),Cargills Food City,
88611cb061fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Pamankada,Supermarket,POINT (79.8680957 6.877097),Cargills Food City,
88611cba3bfffff,Western,Gampaha,Wattala,Cargills Food City - Wattala 1,Supermarket,POINT (79.8885119 6.9849053),Cargills Food City,
88611cb103fffff,Western,Colombo,Colombo,Cargills Food City - Norris Canal,Supermarket,POINT (79.8659984 6.9223969),Cargills Food City,
88611cb139fffff,Western,Colombo,Colombo,Cargills Food City Express - Maradana,Supermarket,POINT (79.8624312 6.930624),Cargills Food City,
88611cb10bfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Ward Place,Supermarket,POINT (79.8701693 6.9160121),Cargills Food City,
88611cb065fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Colombo 05,Supermarket,POINT (79.8729997 6.8878131),Cargills Food City,
8861ad2ac3fffff,Northern,Jaffna,Jaffna,Cargills Food City - Jaffna,Supermarket,POINT (80.0137285 9.6652238),Cargills Food City,
88611cb311fffff,Western,Colombo,Dehiwala,Cargills Food City - Kohuwala,Supermarket,POINT (79.8838164 6.8667714),Cargills Food City,
88611c8459fffff,Western,Colombo,Kaduwela,"Cargills Food City, Millennium City, Athurugiriya",Supermarket,POINT (79.9952611 6.8885679),Cargills Food City,
8861034995fffff,Western,Colombo,Kesbewa,Cargills Food City,Supermarket,POINT (79.9180511 6.8184199),Cargills Food City,
88611cb343fffff,Western,Colombo,Maharagama,Cargills Food City Wijerama 02,Supermarket,POINT (79.9100705 6.8571459),Cargills Food City,
88611cb135fffff,Western,Colombo,Colombo,Cargills Food City - Kotahena,Supermarket,POINT (79.859476 6.9486466),Cargills Food City,
8861025561fffff,Uva,Badulla,Bandarawela,Cargills Food City - Bandarawela 2,Supermarket,POINT (80.9941178 6.8298077),Cargills Food City,
88611cb207fffff,Western,Colombo,Ratmalana,Cargills Food City - Mount Lavinia,Supermarket,POINT (79.8691234 6.8276127),Cargills Food City,
8861025565fffff,Uva,Badulla,Bandarawela,Cargills Food City - Bandarawela 3,Supermarket,POINT (81.004211 6.8414476),Cargills Food City,
88611cb227fffff,Western,Colombo,Dehiwala,Cargills Food City - Karagampitiya,Supermarket,POINT (79.8731304 6.8499428),Cargills Food City,
88611cb347fffff,Western,Colombo,Maharagama,Cargills Food City - Udahamulla,Supermarket,POINT (79.913392 6.8623436),Cargills Food City,
88611cb103fffff,Western,Colombo,Colombo,Cargills Food City - Maradana,Supermarket,POINT (79.8671058 6.925762),Cargills Food City,
8861034989fffff,Western,Colombo,Kesbewa,Cargills Food City Express - Makuluduwa,Supermarket,POINT (79.9359634 6.8138371),Cargills Food City,
88611cb067fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City Express - Havelock City,Supermarket,POINT (79.864129 6.8859117),Cargills Food City,
88611cb30bfffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City - Gamsabha junction,Supermarket,POINT (79.8972014 6.8646343),Cargills Food City,
88611c84d7fffff,Western,Colombo,Kaduwela,"Cargills Food City - Koswatta 2, කාර්ගිල්ස් - කොස්වත්ත",Supermarket,POINT (79.9300057 6.9070808),Cargills Food City,
88611c8491fffff,Western,Colombo,Kaduwela,Cargills Food City - Kalapaluwawa,Supermarket,POINT (79.9101103 6.9140537),Cargills Food City,
88611cba61fffff,Western,Gampaha,Kelaniya,Cargills Food City - Kiribathgoda 1,Supermarket,POINT (79.9311711 6.982238),Cargills Food City,
88611cb069fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Saranankara Rd.,Grocery store,POINT (79.8710428 6.8730999),Cargills Food City,
88611cb103fffff,Western,Colombo,Colombo,Cargills Food City Express - Deans Road,Supermarket,POINT (79.8649429 6.9245799),Cargills Food City,
88611cb319fffff,Western,Colombo,Kesbewa,Cargills Food City - Papiliyana 1,Supermarket,POINT (79.8903418 6.8589655),Cargills Food City,
8861034937fffff,Western,Colombo,Maharagama,Cargills Food City - Kottawa 1,Supermarket,POINT (79.9670005 6.8407172),Cargills Food City,
88610349abfffff,Western,Colombo,Kesbewa,Cargills Food City - Arawwala,Supermarket,POINT (79.9348853 6.8304258),Cargills Food City,
88611c8699fffff,Western,Colombo,Maharagama,Cargills Food City - Depanama,Supermarket,POINT (79.9456152 6.8548652),Cargills Food City,
88611cb247fffff,Western,Colombo,Ratmalana,Cargills Food City - Borupana,Supermarket,POINT (79.8889397 6.813288),Cargills Food City,
88611c84d3fffff,Western,Colombo,Kaduwela,Cargills Food City - Pelawatta 02,Supermarket,POINT (79.9219715 6.8993209),Cargills Food City,
88611cb221fffff,Western,Colombo,Dehiwala,Cargills Food City,Supermarket,POINT (79.8754858 6.843439),Cargills Food City,
88611146d5fffff,North Central,Polonnaruwa,Thamankaduwa,Cargills Food City - Kaduruwela,Supermarket,POINT (81.0341847 7.9281911),Cargills Food City,
88611cb22dfffff,Western,Colombo,Ratmalana,Cargills Food City - Attidiya,Supermarket,POINT (79.8846341 6.8391599),Cargills Food City,
8861114697fffff,North Central,Polonnaruwa,Thamankaduwa,Cargills Food City - Polonnaruwa,Supermarket,POINT (81.0122455 7.9425136),Cargills Food City,
88611c8431fffff,Western,Colombo,Kaduwela,Cargills Food City - Kaduwela 1,Supermarket,POINT (79.9799608 6.9369029),Cargills Food City,
88611cb157fffff,Western,Colombo,Thimbirigasyaya,Cargills Food City Express - Wijerama Mawatha,Supermarket,POINT (79.8707781 6.9121849),Cargills Food City,
88611c84bbfffff,Western,Colombo,Kolonnawa,Cargills Food City - Kotikawatta,Supermarket,POINT (79.9164694 6.9346362),Cargills Food City,
88611cb225fffff,Western,Colombo,Dehiwala,Cargills Food City Express,Supermarket,POINT (79.8830274 6.8524334),Cargills Food City,
886111a0c1fffff,Central,Kandy,Kundasale,Cargills Food City Express - Digana,Supermarket,POINT (80.7344557 7.295006),Cargills Food City,
886111b711fffff,Central,Nuwara Eliya,Hanguranketa,Cargills Food City express Rikillagaskada,Supermarket,POINT (80.7852471 7.1451675),Cargills Food City,
886111a015fffff,Central,Kandy,Medadumbara,Cargills Food City Express - Theldeniya,Grocery store,POINT (80.7628878 7.3119462),Cargills Food City,
886111a095fffff,Central,Kandy,Kundasale,Cargills Food City Express - Manikhinna,Supermarket,POINT (80.7006454 7.3164178),Cargills Food City,
886111a731fffff,Central,Kandy,Kundasale,Cargills Food City - Kundasale,Supermarket,POINT (80.6740597 7.2802929),Cargills Food City,
886111a73bfffff,Central,Kandy,Gangawata Korale,Cargills Food City - Ampitiya,Supermarket,POINT (80.6648328 7.2690783),Cargills Food City,
886111ae57fffff,Central,Kandy,Pathadumbara,Cargills Food City Express - Wattegama,Supermarket,POINT (80.6825369 7.3520179),Cargills Food City,
886111a557fffff,Central,Kandy,Gangawata Korale,Cargills Food City - Lewella,Supermarket,POINT (80.6506767 7.2989123),Cargills Food City,
886111a425fffff,Central,Kandy,Gangawata Korale,Cargills Food City - Kandy,Supermarket,POINT (80.6371057 7.2928776),Cargills Food City,
886111a513fffff,Central,Kandy,Gangawata Korale,Cargills Food City - Katugastota - 1,Supermarket,POINT (80.6316182 7.3142203),Cargills Food City,
886102698dfffff,Central,Kandy,Udapalatha,Cargills Food City - Gampola 2,Grocery store,POINT (80.5747229 7.1649139),Cargills Food City,
886111a5e9fffff,Central,Kandy,Gangawata Korale,Cargills Food City - Katugastota 2,Supermarket,POINT (80.6275089 7.3212616),Cargills Food City,
886111ae95fffff,Central,Kandy,Akurana,Cargills Food City - Akurana,Supermarket,POINT (80.6173431 7.3693372),Cargills Food City,
886111ae93fffff,Central,Kandy,Poojapitiya,Cargills Food City,Supermarket,POINT (80.6042434 7.3654715),Cargills Food City,
88611cb357fffff,Western,Colombo,Kesbewa,Cargills Food City - Pepiliyana 02,Grocery store,POINT (79.8915573 6.8552568),Cargills Food City,
88611cb15dfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Trillium Residencies,Supermarket,POINT (79.8781829 6.9038765),Cargills Food City,
88611cb02dfffff,Western,Colombo,Thimbirigasyaya,Cargills Food City - Bauddhaloka Mawatha,Grocery store,POINT (79.8582368 6.8962396),Cargills Food City,
88611cb30bfffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City Delkanda,Supermarket,POINT (79.8969263 6.8647888),Cargills Food City,
88611cb841fffff,Western,Gampaha,Wattala,Cargills Food City - Welisara 2,Supermarket,POINT (79.8976287 7.012471),Cargills Food City,
88611c8681fffff,Western,Colombo,Kaduwela,Cargills Food City Pannipitiya,Supermarket,POINT (79.9595075 6.8668579),Cargills Food City,
88611c9001fffff,Sabaragamuwa,Ratnapura,Eheliyagoda,Cargills Food City -Eheliyagoda,Supermarket,POINT (80.2609791 6.854194),Cargills Food City,
88611c843dfffff,Western,Colombo,Kaduwela,Cargills Food City - Bandarawatte,Supermarket,POINT (79.9869668 6.9393214),Cargills Food City,
88611cba11fffff,Western,Gampaha,Kelaniya,Cargills Food City - Peliyagoda,Supermarket,POINT (79.8841084 6.9684076),Cargills Food City,
88611c86a1fffff,Western,Colombo,Kaduwela,Cargills Food City Express,Supermarket,POINT (79.9645487 6.8911578),Cargills Food City,
88611cb12bfffff,Western,Colombo,Colombo,Cargills Food City Express - Ascon Residence,Supermarket,POINT (79.878569 6.9379638),Cargills Food City,
88611cba47fffff,Western,Gampaha,Kelaniya,Cargills Food City - Kelaniya 2,Supermarket,POINT (79.9150396 6.9666738),Cargills Food City,
88611c84c9fffff,Western,Colombo,Kaduwela,Cargills Food City,Supermarket,POINT (79.9567926 6.9035185),Cargills Food City,
88611cba13fffff,Western,Colombo,Colombo,Cargills Food City - Mattakkuliya,Supermarket,POINT (79.8744583 6.9712081),Cargills Food City,
88611c84c3fffff,Western,Colombo,Kaduwela,Cargills Food City - Thalahena,Supermarket,POINT (79.9457465 6.9072858),Cargills Food City,
88611cb107fffff,Western,Colombo,Colombo,Cargills Food City Express - Maligawatta,Supermarket,POINT (79.8674354 6.9347092),Cargills Food City,
88611c86b9fffff,Western,Colombo,Kaduwela,Cargills Food City - Hokandara 2,Supermarket,POINT (79.9492921 6.8805301),Cargills Food City,
88611c8431fffff,Western,Colombo,Kaduwela,Cargills Food City - Kaduwela 2,Supermarket,POINT (79.9772464 6.9378507),Cargills Food City,
8861ad2ac7fffff,Northern,Jaffna,Jaffna,Cargills Food City - Jaffna,Supermarket,POINT (80.0115901 9.6711487),Cargills Food City,
8861ad2807fffff,Northern,Jaffna,Valikamam South (Uduvil),Cargills Food City - Chunnakam,Supermarket,POINT (80.0274205 9.7434617),Cargills Food City,
886115633dfffff,Eastern,Ampara,Ampara,Cargills Food City - Ampara,Supermarket,POINT (81.6753017 7.2914037),Cargills Food City,
8861ad28c5fffff,Northern,Jaffna,Valikamam South West (Sandilipay),Cargills Food City - Manipay,Supermarket,POINT (79.9973669 9.7232349),Cargills Food City,
8861ad2859fffff,Northern,Jaffna,Nallur,Cargills Food City (Express) - Kondavil,Supermarket,POINT (80.0354029 9.70218),Cargills Food City,
88611545dbfffff,Eastern,Ampara,Addalaichenai,Cargills Food City - Akkareipattu,Supermarket,POINT (81.8509665 7.2312716),Cargills Food City,
8861157957fffff,Eastern,Ampara,Sammanthurai,Cargills Food City Samanthurai,Supermarket,POINT (81.7977421 7.3633212),Cargills Food City,
88611cb315fffff,Western,Colombo,Dehiwala,Cargills Food City - Nugegoda 2,Grocery store,POINT (79.8903625 6.8725261),Cargills Food City,
8861157b25fffff,Eastern,Ampara,Nintavur,Cargills Food City Express - Nintavur,Supermarket,POINT (81.8438178 7.3543424),Cargills Food City,
886110b659fffff,Eastern,Ampara,Sainthamaruthu,Cargills Food City Kalmunai,Supermarket,POINT (81.8327902 7.3984296),Cargills Food City,
886103493bfffff,Western,Colombo,Homagama,Cargills Food City Express -Mattegoda,Supermarket,POINT (79.9701519 6.8191934),Cargills Food City,
88611cb349fffff,Western,Colombo,Maharagama,Cargills Food City - Maharagama 2,Supermarket,POINT (79.9230755 6.8497501),Cargills Food City,
88611cb14bfffff,Western,Colombo,Sri Jayawardanapura Kotte,Cargills Food City Express - Royal Park,Supermarket,POINT (79.8882921 6.9060373),Cargills Food City,
88611c8051fffff,Western,Colombo,Seethawaka,Cargills Food City,Supermarket,POINT (80.1373628 6.941731),Cargills Food City,
88611cb049fffff,Western,Colombo,Dehiwala,Cargills Food City - Marine City,Grocery store,POINT (79.8625996 6.8509933),Cargills Food City,
